order_id,product_id,quantity,unit_price,total_price
1,81,4,169.92,679.68
1,92,2,437.28,874.56
1,50,1,361.92,361.92
1,2,1,167.75,167.75
2,10,1,263.01,263.01
2,33,3,109.21,327.63
2,3,4,158.68,634.72
3,50,1,361.92,361.92
3,67,3,407.75,1223.25
3,37,1,42.48,42.48
4,45,4,243.97,975.88
5,95,1,72.82,72.82
5,68,4,98.46,393.84
5,91,2,344.51,689.02
5,86,1,35.08,35.08
6,17,1,236.06,236.06
6,21,1,398.96,398.96
6,68,3,98.46,295.38
7,36,2,266.61,533.22
7,17,1,236.06,236.06
7,87,3,169.88,509.64
7,60,2,285.98,571.96
8,64,2,183.62,367.24
8,93,1,497.5,497.5
8,23,3,479.19,1437.57
9,38,1,211.21,211.21
9,51,2,9.64,19.28
9,47,2,269.23,538.46
10,50,3,361.92,1085.76
10,75,4,185.86,743.44
10,93,4,497.5,1990.0
11,61,4,183.55,734.2
11,26,4,372.02,1488.08
11,1,1,111.25,111.25
12,44,4,122.31,489.24
12,50,3,361.92,1085.76
12,78,1,157.78,157.78
13,8,3,7.15,21.45
13,72,4,241.01,964.04
14,37,3,42.48,127.44
14,20,1,388.6,388.6
14,52,3,427.9,1283.7
14,78,1,157.78,157.78
15,55,2,188.56,377.12
15,63,3,462.26,1386.78
16,68,1,98.46,98.46
16,65,4,216.05,864.2
16,63,3,462.26,1386.78
16,80,2,139.16,278.32
16,53,4,489.09,1956.36
17,34,4,312.76,1251.04
17,46,1,367.02,367.02
18,60,1,285.98,285.98
18,22,1,158.75,158.75
19,41,1,227.0,227.0
19,62,1,348.79,348.79
20,32,4,75.65,302.6
20,70,2,279.59,559.18
21,56,2,98.17,196.34
21,97,4,285.12,1140.48
21,100,3,377.25,1131.75
21,74,1,472.21,472.21
22,61,4,183.55,734.2
23,68,2,98.46,196.92
23,30,3,381.4,1144.2
24,33,3,109.21,327.63
25,44,1,122.31,122.31
26,69,2,41.55,83.1
27,92,3,437.28,1311.84
27,47,1,269.23,269.23
27,57,2,57.47,114.94
28,5,2,13.8,27.6
28,49,1,67.08,67.08
28,6,4,391.62,1566.48
28,66,3,86.63,259.89
29,20,4,388.6,1554.4
30,80,4,139.16,556.64
30,48,1,44.22,44.22
30,27,3,446.68,1340.04
30,26,2,372.02,744.04
30,3,1,158.68,158.68
31,55,3,188.56,565.68
31,8,3,7.15,21.45
31,26,1,372.02,372.02
31,91,1,344.51,344.51
32,31,4,183.12,732.48
32,30,3,381.4,1144.2
32,100,3,377.25,1131.75
32,29,3,74.74,224.22
33,77,2,207.66,415.32
33,90,4,157.48,629.92
33,34,2,312.76,625.52
34,47,3,269.23,807.69
34,71,3,287.44,862.32
34,95,2,72.82,145.64
34,95,4,72.82,291.28
35,45,2,243.97,487.94
35,71,1,287.44,287.44
35,39,3,312.46,937.38
35,18,3,391.81,1175.43
35,99,4,242.79,971.16
36,50,4,361.92,1447.68
36,36,3,266.61,799.83
36,13,1,212.57,212.57
36,69,2,41.55,83.1
37,30,4,381.4,1525.6
37,62,2,348.79,697.58
38,26,4,372.02,1488.08
38,50,4,361.92,1447.68
38,2,2,167.75,335.5
39,29,3,74.74,224.22
39,63,2,462.26,924.52
40,47,1,269.23,269.23
40,92,1,437.28,437.28
40,97,2,285.12,570.24
40,40,3,277.18,831.54
40,72,3,241.01,723.03
41,2,1,167.75,167.75
41,35,4,15.69,62.76
42,13,2,212.57,425.14
43,66,1,86.63,86.63
43,31,1,183.12,183.12
43,10,1,263.01,263.01
43,17,4,236.06,944.24
44,31,2,183.12,366.24
45,96,3,391.26,1173.78
45,32,4,75.65,302.6
45,48,2,44.22,88.44
45,36,2,266.61,533.22
46,37,1,42.48,42.48
46,14,4,14.86,59.44
46,14,1,14.86,14.86
46,79,2,365.36,730.72
47,31,2,183.12,366.24
47,56,3,98.17,294.51
48,27,4,446.68,1786.72
48,70,2,279.59,559.18
48,40,4,277.18,1108.72
49,70,1,279.59,279.59
50,51,4,9.64,38.56
50,33,4,109.21,436.84
50,87,2,169.88,339.76
50,6,1,391.62,391.62
50,7,4,271.0,1084.0
51,21,1,398.96,398.96
51,54,2,191.7,383.4
51,16,4,144.94,579.76
52,90,4,157.48,629.92
52,27,1,446.68,446.68
52,74,2,472.21,944.42
52,77,3,207.66,622.98
53,86,1,35.08,35.08
53,49,3,67.08,201.24
53,97,1,285.12,285.12
53,38,2,211.21,422.42
53,1,2,111.25,222.5
54,76,4,101.99,407.96
54,79,3,365.36,1096.08
54,15,3,290.41,871.23
55,74,2,472.21,944.42
55,13,3,212.57,637.71
56,5,1,13.8,13.8
56,91,2,344.51,689.02
56,11,1,270.28,270.28
56,52,1,427.9,427.9
56,88,1,427.9,427.9
57,23,3,479.19,1437.57
57,80,3,139.16,417.48
57,69,2,41.55,83.1
57,49,1,67.08,67.08
57,74,1,472.21,472.21
58,16,3,144.94,434.82
58,16,4,144.94,579.76
59,52,4,427.9,1711.6
59,72,4,241.01,964.04
59,19,2,52.3,104.6
59,14,3,14.86,44.58
60,100,3,377.25,1131.75
60,95,3,72.82,218.46
60,44,1,122.31,122.31
60,11,4,270.28,1081.12
61,61,4,183.55,734.2
61,77,3,207.66,622.98
61,46,3,367.02,1101.06
62,2,4,167.75,671.0
62,72,1,241.01,241.01
62,91,1,344.51,344.51
62,87,4,169.88,679.52
62,38,2,211.21,422.42
63,98,3,32.39,97.17
63,85,1,59.24,59.24
63,74,4,472.21,1888.84
64,26,4,372.02,1488.08
65,37,3,42.48,127.44
65,12,2,392.51,785.02
65,59,3,493.16,1479.48
66,17,4,236.06,944.24
66,44,3,122.31,366.93
66,49,3,67.08,201.24
66,50,4,361.92,1447.68
67,84,3,282.56,847.68
67,84,3,282.56,847.68
67,65,1,216.05,216.05
68,76,4,101.99,407.96
69,29,1,74.74,74.74
69,35,1,15.69,15.69
70,88,2,427.9,855.8
70,72,3,241.01,723.03
70,56,2,98.17,196.34
71,50,3,361.92,1085.76
71,92,4,437.28,1749.12
71,52,1,427.9,427.9
71,45,3,243.97,731.91
71,25,2,119.99,239.98
72,86,3,35.08,105.24
72,52,4,427.9,1711.6
73,53,2,489.09,978.18
73,77,3,207.66,622.98
74,40,4,277.18,1108.72
75,52,4,427.9,1711.6
76,10,4,263.01,1052.04
76,30,4,381.4,1525.6
76,90,2,157.48,314.96
76,92,2,437.28,874.56
77,13,3,212.57,637.71
77,31,4,183.12,732.48
77,22,1,158.75,158.75
77,67,4,407.75,1631.0
77,34,3,312.76,938.28
78,55,4,188.56,754.24
78,50,3,361.92,1085.76
78,30,3,381.4,1144.2
78,29,2,74.74,149.48
79,58,3,447.62,1342.86
79,79,2,365.36,730.72
79,23,3,479.19,1437.57
79,41,4,227.0,908.0
80,8,2,7.15,14.3
80,75,2,185.86,371.72
80,14,4,14.86,59.44
80,33,1,109.21,109.21
81,27,4,446.68,1786.72
82,31,4,183.12,732.48
82,95,3,72.82,218.46
82,29,2,74.74,149.48
82,55,3,188.56,565.68
82,3,2,158.68,317.36
83,11,2,270.28,540.56
84,45,4,243.97,975.88
84,64,1,183.62,183.62
84,74,4,472.21,1888.84
84,63,2,462.26,924.52
85,54,3,191.7,575.1
85,94,1,280.87,280.87
85,72,4,241.01,964.04
86,1,2,111.25,222.5
87,29,1,74.74,74.74
87,15,4,290.41,1161.64
